#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260904    22:25:11       1    158     35     42     44      9      0      0      0      0   2619   1980  10129  10130      0 
 20260904    22:25:16       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:25:16       1    160     35     41     44      9      0      0      0      0   2619   1980  10129  10130      0 
 20260904    22:25:21       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:25:21       1    159     35     42     44      9      0      0      0      0   2619   1980  10129  10130      0 
 20260904    22:25:26       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:25:26       1    158     35     43     44      9      0      0      0      0   2619   1980  10129  10130      0 
 20260904    22:25:31       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:25:31       1    160     35     42     44      9      0      0      0      0   2619   1980  10129  10130      0 
 20260904    22:25:36       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:25:36       1    160     35     42     44      9      0      0      0      0   2619   1980  10129  10130      0 
 20260904    22:25:41       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:25:41       1    158     35     42     44      8      0      0      0      0   2619   1980  10129  10130      0 
 20260904    22:25:46       0     69     28     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:25:46       1    159     35     41     44      9      0      0      0      0   2619   1980  10129  10130      0 
 20260904    22:25:51       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:25:51       1    159     35     42     44      9      0      0      0      0   2619   1980  10129  10130      0 
 20260904    22:25:56       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:25:56       1    160     35     41     44      9      0      0      0      0   2619   1980  10129  10130      0 
 20260904    22:26:01       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:26:01       1    157     35     42     44      9      0      0      0      0   2619   1980  10131  10132      0 
 20260904    22:26:06       0     69     28     35      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:26:06       1    159     35     41     44      9      0      0      0      0   2619   1980  10131  10132      0 
 20260904    22:26:11       0     69     28     36      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:26:11       1    167     35     41     44      9      0      0      0      0   2619   1980  10131  10132      0 
 20260904    22:26:16       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:26:16       1    159     35     41     44      9      0      0      0      0   2619   1980  10131  10132      0 
 20260904    22:26:21       0     69     28     37      0      0      0      0      0      0   2619    345      0      1      0 
 20260904    22:26:21       1    160     35     41     44      9      0      0      0      0   2619   1980  10131  10132      0 
