set,position,x,y,cos
neutral,1,B@25,A@50,-0.0412123017013073
neutral,1,B@25,B@50,0.8296080231666565
neutral,1,B@25,A@75,-0.06048748269677162
neutral,1,B@25,B@75,0.7516491413116455
neutral,1,B@25,A@100,-0.06398861110210419
neutral,1,B@25,B@100,0.7046277523040771
neutral,1,B@25,A@125,-0.07833777368068695
neutral,1,B@25,B@125,0.7100925445556641
neutral,1,B@25,N1_halves,-0.06587864458560944
neutral,1,A@50,B@50,0.03336081653833389
neutral,1,A@50,A@75,0.9621328115463257
neutral,1,A@50,B@75,-0.008382998406887054
neutral,1,A@50,A@100,0.9467158317565918
neutral,1,A@50,B@100,-0.0460682176053524
neutral,1,A@50,A@125,0.9407200217247009
neutral,1,A@50,B@125,-0.05762364715337753
neutral,1,A@50,N1_halves,0.01799444667994976
neutral,1,B@50,A@75,0.018792515620589256
neutral,1,B@50,B@75,0.864992082118988
neutral,1,B@50,A@100,0.0139921260997653
neutral,1,B@50,B@100,0.8211196660995483
neutral,1,B@50,A@125,0.0020243364851921797
neutral,1,B@50,B@125,0.8131522536277771
neutral,1,B@50,N1_halves,-0.12497299909591675
neutral,1,A@75,B@75,-0.022175583988428116
neutral,1,A@75,A@100,0.9763116836547852
neutral,1,A@75,B@100,-0.06852691620588303
neutral,1,A@75,A@125,0.9688756465911865
neutral,1,A@75,B@125,-0.07942020148038864
neutral,1,A@75,N1_halves,-0.0012709033908322453
neutral,1,B@75,A@100,-0.028165897354483604
neutral,1,B@75,B@100,0.9045165777206421
neutral,1,B@75,A@125,-0.043519068509340286
neutral,1,B@75,B@125,0.8923683166503906
neutral,1,B@75,N1_halves,-0.1394023448228836
neutral,1,A@100,B@100,-0.07632981985807419
neutral,1,A@100,A@125,0.9825999140739441
neutral,1,A@100,B@125,-0.08617416024208069
neutral,1,A@100,N1_halves,0.002096473937854171
neutral,1,B@100,A@125,-0.08144698292016983
neutral,1,B@100,B@125,0.9316117167472839
neutral,1,B@100,N1_halves,-0.141924649477005
neutral,1,A@125,B@125,-0.0970010757446289
neutral,1,A@125,N1_halves,0.009527834132313728
neutral,1,B@125,N1_halves,-0.15471291542053223
neutral,2,D,D_math,0.05954313278198242
neutral,2,D,D_math_full,0.1967247873544693
neutral,2,D,N3,0.07173125445842743
neutral,2,D,A,0.14491493999958038
neutral,2,D,B,0.04235759750008583
neutral,2,D,A_early@30,0.12828704714775085
neutral,2,D,A_early@2,0.044965632259845734
neutral,2,D,A@25,0.034691113978624344
neutral,2,D,B@25,0.027918467298150063
neutral,2,D,A@50,0.10495676100254059
neutral,2,D,B@50,0.07837345451116562
neutral,2,D,A@75,0.13534514605998993
neutral,2,D,B@75,0.05934028699994087
neutral,2,D,A@100,0.1451198011636734
neutral,2,D,B@100,0.054243143647909164
neutral,2,D,A@125,0.1481628119945526
neutral,2,D,B@125,0.03333636000752449
neutral,2,D,N1_halves,-0.052560918033123016
neutral,2,D_math,D_math_full,0.5657299757003784
neutral,2,D_math,N3,0.0937420129776001
neutral,2,D_math,A,0.10246441513299942
neutral,2,D_math,B,0.13326501846313477
neutral,2,D_math,A_early@30,0.2321387231349945
neutral,2,D_math,A_early@2,0.07094466686248779
neutral,2,D_math,A@25,0.0899207592010498
neutral,2,D_math,B@25,0.09233811497688293
neutral,2,D_math,A@50,0.09170252084732056
neutral,2,D_math,B@50,0.09999332576990128
neutral,2,D_math,A@75,0.11624234169721603
neutral,2,D_math,B@75,0.1011948361992836
neutral,2,D_math,A@100,0.10515207797288895
neutral,2,D_math,B@100,0.11978863924741745
neutral,2,D_math,A@125,0.12582701444625854
neutral,2,D_math,B@125,0.09521498531103134
neutral,2,D_math,N1_halves,-0.06483084708452225
neutral,2,D_math_full,N3,0.039781760424375534
neutral,2,D_math_full,A,0.2591310739517212
